鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
馬公市,租賃房屋,澎湖縣馬公市光復路３３之１６號,0.0,,,,1150212,土地0建物1車位0,全,1,透天厝,住家用,空心磚造,0651119,45.08,0,0,0,無,無,無,2000,44,,0.0,0,,RPPNMLMKKHLGFAX86DC,,無,1150212~1150512,無,,
馬公市,租賃房屋,澎湖縣馬公市西文澳９２-６９號,0.0,,,,1150223,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1041105,18.0,5,0,5,有,無,有,8800,489,,0.0,0,多人共同承租2；租金總額含水費；,RPPNMLPLKHLGFAX17CC,分租套房,無,1150223~1160630,無,冷氣、熱水器、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市文光路７５-１號,0.0,,,,1150312,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,1100302,15.0,15,2,15,有,無,有,8800,587,,0.0,0,租金總額含水費；,RPPNMLQLLHLGFAX37CC,分租套房,無,1150312~1160712,有,冷氣、電視機、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,0.0,,,,1150312,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,15.0,13,0,12,有,無,有,6500,433,,0.0,0,因房東有增建第四層，故總樓層數為四層租金總額含水費；,RPQNMLQLLHLGFAX47CC,分租套房,無,1150312~1160630,無,冷氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市文光路７５-１號,0.0,,,,1150327,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,1100302,15.0,15,2,15,有,無,有,7700,513,,0.0,0,租金總額含水費；,RPPNMLLJMHLGFAX76CC,分租套房,無,1150327~1160630,有,冷氣、電視機、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市文光路７５-１號,0.0,,,,1150410,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,1100302,18.0,15,2,15,有,無,有,8800,489,,0.0,0,租金總額含水費；,RPPNMLNKMHLGFAX07CC,分租套房,無,1150412~1160630,有,冷氣、電視機、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市文光路７５-１號,0.0,,,,1150411,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,1100302,18.0,15,2,15,有,無,有,8800,489,,0.0,0,多人共同承租2；租金總額含水費；,RPQNMLNKMHLGFAX17CC,分租套房,無,1150411~1160630,有,冷氣、電視機、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市西文澳９２-７０號,0.0,,,,1150411,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1041105,23.0,5,0,5,有,無,有,8500,370,,0.0,0,多人共同承租2；租金總額含水費；續租案件；,RPRNMLNKMHLGFAX27CC,分租套房,無,1150401~1160831,無,冷氣、熱水器、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市新店路４２５號,0.0,,,,1150415,土地0建物1車位0,全,5,透天厝,住宅、停車場,鋼筋混凝土造,0900724,185.72,6,2,3,有,無,有,20000,108,,0.0,0,多人共同承租2；,RPPNMLQKMHLGFAX37CC,整棟(戶)出租,無,1150515~1180701,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
